0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DVN,3.9714,3.7246,3.7609,3.8502,4.1624,4.2906,3.2199,4.0437,2.7827,2.2234,3.0337,3.9601,2.8098,2.1532,2.1854,2.1448,4.2799,1.9176,2.0084,1.8146,1.8901,1.9925,1.9474,2.0149
EOG,2.4826,2.2524,2.2953,2.2398,2.5821,2.5091,2.3363,2.4213,1.87,1.6882,2.1344,2.4675,2.0765,1.685,1.7106,1.7062,2.5685,1.4209,1.5644,1.3348,1.4149,1.5389,1.4791,1.5888
FANG,3.749,3.3677,3.3819,3.3785,3.5919,3.4425,2.534,3.4961,1.4444,1.2523,1.3845,3.7717,1.3171,1.3576,1.4529,1.4848,3.669,1.3235,1.3875,1.2568,1.3503,1.2257,1.3174,1.3808
FTI,2.8984,2.4339,2.4404,2.4594,2.6307,2.7202,2.6945,2.5454,1.9164,1.8728,2.4265,2.9136,2.2721,1.9241,1.9825,2.0002,2.4311,1.4484,1.876,1.3477,1.4904,1.4764,1.5657,1.8544
HAL,3.5639,3.6195,3.69,3.6173,3.6737,3.6481,3.2016,3.7837,2.5641,2.039,2.7277,3.558,2.7034,1.9592,1.8013,1.7869,3.8611,1.3203,1.6592,1.2371,1.3089,1.3523,1.5576,1.6109
HES,2.1842,2.0673,2.0787,2.0955,2.3949,2.4592,1.9404,2.2655,1.1603,2.4154,1.8408,2.2018,2.3615,2.5348,2.5197,2.5477,2.4207,2.6521,2.5175,2.4777,2.6208,2.5711,2.5035,2.4512
HFC,2.0149,1.7694,1.8219,1.7805,2.271,2.4315,2.1809,2.0034,2.466,1.8525,2.2178,2.0486,1.9739,1.9342,1.6305,1.5498,2.1323,1.2944,1.5129,1.1413,1.2541,1.4383,1.2359,1.5515
KMI,1.2809,1.0993,1.1346,1.113,1.2324,1.0825,1.1931,1.1494,0.5511,0.94,0.3369,1.2471,0.8474,0.9965,0.9415,0.9469,1.2362,1.1577,0.8943,1.2206,1.0955,1.3079,0.9452,0.8808
MPC,2.5838,2.4078,2.4913,2.4535,2.8501,2.8899,2.8436,2.7048,2.2303,1.7979,2.6488,2.5857,2.3837,1.8744,1.7753,1.6859,2.8063,1.2501,1.649,1.0692,1.2435,1.2312,1.4814,1.7353
NOV,2.6456,2.2403,2.2887,2.1992,2.3705,2.4546,2.3943,2.2841,1.6928,1.8777,2.1581,2.6599,2.0743,1.8796,1.7313,1.7036,2.4216,1.7117,1.6472,1.6007,1.6674,1.6707,1.7127,1.7195
